level_0,index,section_name,row_name,seat,center_distance,angle,prediction,normalized,seat_score
6464,1848,15,14,7,120.9,0.1336,147.5404878,-0.814104,0.055340524
6463,2382,17,15,12,126.02,0.1674,147.6246341,-0.813384644,0.055448553
6462,4940,31,18,7,133.49,0.1544,147.6460976,-0.813201156,0.055476108
6461,1858,15,15,3,125.99,0.1674,147.6492683,-0.81317405,0.055480179
6460,205,1,19,8,132.85,0.0771,147.7109756,-0.812646521,0.0555594
6458,912,110,6,4,135.67,0.6677,147.7356098,-0.812435927,0.055591026
6459,1194,122,6,5,135.67,0.6677,147.7356098,-0.812435927,0.055591026
6457,1816,15,12,11,113.24,0.0993,147.7629268,-0.812202397,0.055626096
6456,2346,17,12,2,113.2,0.0993,147.7943902,-0.81193342,0.05566649
6455,2012,16,10,1,106.12,0.0714,147.8258537,-0.811664443,0.055706883
6454,171,1,18,19,133.26,0.151,147.8339024,-0.811595635,0.055717216
6453,2021,16,10,18,106.08,0.0714,147.8663415,-0.811318318,0.055758862
6452,4462,29,19,20,136.93,0.2317,147.9563415,-0.810548919,0.055874406
6451,4941,31,18,8,133.06,0.1477,147.99,-0.810261177,0.055917618
6450,2383,17,15,13,126.55,0.1747,147.9943902,-0.810223645,0.055923254
6449,1857,15,15,2,126.51,0.1747,148.0287805,-0.809929647,0.055967405
6448,170,1,18,18,132.85,0.1442,148.1590244,-0.808816208,0.056134615
6447,2377,17,14,8,121.37,0.141,148.1702439,-0.808720294,0.056149018
6446,1622,13,18,19,133.48,0.2339,148.1726829,-0.808699443,0.05615215
6445,1847,15,14,6,121.34,0.141,148.1929268,-0.80852638,0.056178139
6444,1182,122,5,1,136.42,0.6384,148.2407317,-0.808117702,0.056239512
6443,204,1,19,7,132.63,0.0701,148.2621951,-0.807934214,0.056267067
6442,908,110,5,8,136.4,0.6384,148.2834146,-0.807752811,0.056294309
6440,771,108,9,6,129.62,0.9771,148.327561,-0.80737541,0.056350985
6441,761,108,9,12,129.62,0.9771,148.327561,-0.80737541,0.056350985
6439,2384,17,15,14,127.06,0.1818,148.3346341,-0.807314942,0.056360066
6438,4942,31,18,9,132.64,0.1409,148.3443902,-0.807231538,0.056372591
6437,1851,15,15,1,127.03,0.1818,148.3595122,-0.807102263,0.056392005
6436,2361,17,13,5,117.29,0.1207,148.3760976,-0.806960477,0.056413298
6435,1836,15,13,8,117.27,0.1207,148.3907317,-0.806835371,0.056432085
6434,1781,13WC,19W,14,138,0.271,148.4526829,-0.806305758,0.05651162
6433,4479,29,20,17,138.05,0.2543,148.4734146,-0.806128525,0.056538235
6432,169,1,18,17,132.46,0.1374,148.4882927,-0.806001334,0.056557336
6431,4915,31,18,10,132.25,0.134,148.6853659,-0.80431658,0.056810343
6430,2378,17,14,9,121.84,0.1484,148.7553659,-0.803718159,0.05690021
6429,1846,15,14,5,121.81,0.1484,148.7785366,-0.803520075,0.056929958
6428,1149,121,5,15,140.14,0.5799,148.7792683,-0.80351382,0.056930897
6427,4912,31,17,1,133.21,0.1706,148.7978049,-0.803355353,0.056954695
6426,168,1,18,16,132.09,0.1306,148.8212195,-0.803155184,0.056984755
6424,203,1,19,6,132.43,0.0631,148.8356098,-0.803032164,0.057003229
6425,4701,3,18,3,135.3,0.2147,148.8356098,-0.803032164,0.057003229
6423,1604,13,17,20,131.46,0.2237,148.8373171,-0.803017568,0.057005421
6422,1150,121,5,16,139.24,0.5866,148.8680488,-0.802754847,0.057044875
6421,1148,121,5,14,141.07,0.5731,148.8995122,-0.80248587,0.057085269
6420,1815,15,12,10,113.58,0.1072,148.9507317,-0.802048001,0.057151025
6419,2347,17,12,3,113.54,0.1072,148.9812195,-0.801787364,0.057190166
6418,5152,3WC,19W,3,138.85,0.271,149.0090244,-0.801549664,0.057225863
6417,4916,31,18,11,131.88,0.1271,149.0304878,-0.801366176,0.057253418
6415,1805,15,11,11,110.07,0.0931,149.1129268,-0.800661415,0.057359255
6416,2331,17,11,1,110.07,0.0931,149.1129268,-0.800661415,0.057359255
6414,167,1,18,15,131.73,0.1237,149.1712195,-0.800163078,0.057434092
6413,2362,17,13,6,117.71,0.1283,149.2092683,-0.799837804,0.05748294
6412,1835,15,13,7,117.69,0.1283,149.2239024,-0.799712698,0.057501728
6411,1621,13,18,18,132.92,0.2406,149.2441463,-0.799539636,0.057527717
6410,937,111,5,2,140.22,0.5748,149.2517073,-0.799474998,0.057537424
6409,2367,17,14,10,122.33,0.1558,149.2814634,-0.799220616,0.057575626
6408,1845,15,14,4,122.29,0.1558,149.3141463,-0.798941214,0.057617585
6407,936,111,5,1,139.29,0.5816,149.3153659,-0.798930789,0.05761915
6406,4460,29,19,19,136.35,0.2379,149.3285366,-0.798818194,0.057636059
6405,2240,16,8,4,99.7,0.0482,149.36,-0.798549217,0.057676453
6404,2243,16,8,7,99.69,0.0482,149.3763415,-0.798409516,0.057697432
