PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,10-Game Plan $ Gross,20-Game Plan $ Gross,Pick Plan $ Gross Rev,Group $ Gross,gross_revenue
1,FLR23,AA,7,8,4/20/2021 16:29,14,0,0,0,0,"116,960",$0 ,$0 ,0
1,FLR23,AA,23,23,4/20/2021 16:29,2,0,0,0,0,"19,882",$0 ,$0 ,0
1,FLR23,AA,23,24,4/20/2021 16:29,32,0,0,4,0,"170,206",$0 ,$0 ,11440
1,FLR23,AA,24,24,4/20/2021 16:29,2,0,0,0,0,"19,882",$0 ,$0 ,0
1,FLR24,AA,29,32,4/20/2021 16:29,80,0,0,0,0,"440,000",$0 ,$0 ,0
1,FLR24,AA,37,37,4/20/2021 16:29,1,0,0,0,0,"4,094",$0 ,$0 ,0
1,FLR24,AA,37,38,4/20/2021 16:29,22,0,0,0,0,"85,062",$0 ,$0 ,0
1,FLR24,AA,38,38,4/20/2021 16:29,1,0,0,0,0,"4,094",$0 ,$0 ,0
1,FLR24,AA,43,45,4/20/2021 16:29,3,0,0,0,0,"7,920",$0 ,$0 ,0
1,FLR24,AA,43,46,4/20/2021 16:29,76,0,0,0,0,"429,440",$0 ,$0 ,0
1,FLR24,AA,46,46,4/20/2021 16:29,1,0,0,0,0,"2,640",$0 ,$0 ,0
1,FLR25,AA,51,52,4/20/2021 16:29,40,0,0,0,0,"220,000",$0 ,$0 ,0
2,FLR23,AA,7,7,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
2,FLR23,AA,7,8,4/20/2021 16:29,0,0,0,16,0,0,$0 ,$0 ,75280
2,FLR23,AA,8,8,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
2,FLR23,AA,11,12,4/20/2021 16:29,40,0,0,0,0,"207,000",$0 ,$0 ,0
2,FLR23,AA,15,17,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,10350
2,FLR23,AA,15,18,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
2,FLR25,AA,57,57,4/20/2021 16:29,3,0,0,0,0,"24,777",$0 ,$0 ,0
2,FLR25,AA,57,58,4/20/2021 16:29,8,0,0,0,0,"67,904",$0 ,$0 ,0
2,FLR25,AA,57,60,4/20/2021 16:29,52,0,0,0,0,"205,084",$0 ,$0 ,0
2,FLR25,AA,58,58,4/20/2021 16:29,1,0,0,0,0,"4,895",$0 ,$0 ,0
2,FLR25,AA,58,60,4/20/2021 16:29,6,0,0,0,0,"59,646",$0 ,$0 ,0
2,FLR25,AA,59,60,4/20/2021 16:29,10,0,0,0,0,"77,694",$0 ,$0 ,0
2,FLR25,AA,65,66,4/20/2021 16:29,20,0,0,0,0,"118,278",$0 ,$0 ,0
2,FLR25,AA,65,68,4/20/2021 16:29,40,0,0,0,0,"203,444",$0 ,$0 ,0
2,FLR25,AA,67,67,4/20/2021 16:29,1,0,0,0,0,"4,094",$0 ,$0 ,0
2,FLR25,AA,67,68,4/20/2021 16:29,18,0,0,0,0,"110,090",$0 ,$0 ,0
2,FLR25,AA,68,68,4/20/2021 16:29,1,0,0,0,0,"4,094",$0 ,$0 ,0
3,FLR23,AA,1,2,4/20/2021 16:29,40,0,0,0,0,"160,000",$0 ,$0 ,0
3,FLR25,AA,73,73,4/20/2021 16:29,1,0,0,0,0,"3,330",$0 ,$0 ,0
3,FLR25,AA,73,74,4/20/2021 16:29,38,0,0,0,0,"153,340",$0 ,$0 ,0
3,FLR25,AA,74,74,4/20/2021 16:29,1,0,0,0,0,"3,330",$0 ,$0 ,0
4,FLR17,AA,4,4,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17,AA,5,5,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17,AA,5,6,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,3904
4,FLR17,AA,5,8,4/20/2021 16:29,0,0,0,8,0,0,$0 ,$0 ,33680
4,FLR17,AA,6,8,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17,AA,7,8,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,13669
4,FLR17W,AAW,1,1,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17W,AAW,1,2,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,5445
4,FLR17W,AAW,1,3,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17W,AAW,1,4,4/20/2021 16:29,4,0,0,0,0,"1,520",$0 ,$0 ,0
4,FLR17W,AAW,2,2,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17W,AAW,3,3,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17W,AAW,3,4,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR17W,AAW,4,4,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
4,FLR31,AA,1,1,4/20/2021 16:29,1,0,0,0,0,"3,330",$0 ,$0 ,0
4,FLR31,AA,1,2,4/20/2021 16:29,38,0,0,0,0,"153,340",$0 ,$0 ,0
4,FLR31,AA,2,2,4/20/2021 16:29,1,0,0,0,0,"3,330",$0 ,$0 ,0
4,FLR31,AA,3,4,4/20/2021 16:29,40,0,0,0,0,"160,000",$0 ,$0 ,0
4,FLR31W,AAW,1,4,4/20/2021 16:29,68,0,0,0,0,"218,365",$0 ,$0 ,0
6,PLT7,TBL1,1,2,4/20/2021 16:29,2,0,0,0,0,"1,234",$0 ,$0 ,0
6,PLT7,TBL1,1,4,4/20/2021 16:29,76,0,0,0,0,"97,532",$0 ,$0 ,0
6,PLT7,TBL1,3,4,4/20/2021 16:29,2,0,0,0,0,"1,234",$0 ,$0 ,0
6,PLT7,TBL1,5,6,4/20/2021 16:29,0,0,0,26,0,0,$0 ,$0 ,9100
6,PLT7,TBL2,1,2,4/20/2021 16:29,22,0,0,0,0,"28,842",$0 ,$0 ,0
6,PLT7,TBL2,1,3,4/20/2021 16:29,3,0,0,0,0,"8,025",$0 ,$0 ,0
6,PLT7,TBL2,1,4,4/20/2021 16:29,32,0,0,0,0,"31,616",$0 ,$0 ,0
6,PLT7,TBL2,3,4,4/20/2021 16:29,22,0,0,0,0,"28,842",$0 ,$0 ,0
6,PLT7,TBL2,4,4,4/20/2021 16:29,1,0,0,0,0,"2,675",$0 ,$0 ,0
6,PLT7,TBL2,5,6,4/20/2021 16:29,0,0,0,0,0,0,$0 ,$0 ,0
6,PLT10,TBL1,1,1,4/20/2021 16:29,3,0,0,0,0,"5,410",$0 ,$0 ,0
6,PLT10,TBL1,1,4,4/20/2021 16:29,68,0,0,0,0,"78,360",$0 ,$0 ,0
6,PLT10,TBL1,2,2,4/20/2021 16:29,3,0,0,0,0,"5,410",$0 ,$0 ,0
6,PLT10,TBL1,3,3,4/20/2021 16:29,3,0,0,0,0,"5,410",$0 ,$0 ,0
6,PLT10,TBL1,4,4,4/20/2021 16:29,3,0,0,0,0,"5,410",$0 ,$0 ,0
