PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,Individual ,tickets_sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,4/23/2021 9:58,14,0,0,0,14,"$100,992 ",$0 ,$0 ,$0 ,0
1,FLR23,AA,23,23,4/23/2021 9:58,2,0,0,0,2,"$17,266 ",$0 ,$0 ,$0 ,0
1,FLR23,AA,23,24,4/23/2021 9:58,32,0,0,4,36,"$142,860 ",$0 ,$0 ,$0 ,"11,440"
1,FLR23,AA,24,24,4/23/2021 9:58,2,0,0,0,2,"$17,266 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,29,32,4/23/2021 9:58,80,0,0,0,80,"$369,775 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,37,37,4/23/2021 9:58,1,0,0,0,1,"$3,316 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,37,38,4/23/2021 9:58,22,0,0,0,22,"$69,064 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,38,38,4/23/2021 9:58,1,0,0,0,1,"$3,316 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,43,45,4/23/2021 9:58,3,0,0,0,3,"$5,983 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,43,46,4/23/2021 9:58,76,0,0,0,76,"$361,797 ",$0 ,$0 ,$0 ,0
1,FLR24,AA,46,46,4/23/2021 9:58,1,0,0,0,1,"$1,994 ",$0 ,$0 ,$0 ,0
1,FLR25,AA,51,52,4/23/2021 9:58,40,0,0,0,40,"$184,887 ",$0 ,$0 ,$0 ,0
2,FLR23,AA,7,7,4/23/2021 9:58,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0
2,FLR23,AA,7,8,4/23/2021 9:58,0,0,0,16,16,$0 ,$0 ,$0 ,$0 ,"75,280"
2,FLR23,AA,8,8,4/23/2021 9:58,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0
2,FLR23,AA,11,12,4/23/2021 9:58,40,0,0,0,40,"$173,066 ",$0 ,$0 ,$0 ,0
2,FLR23,AA,15,17,4/23/2021 9:58,0,0,0,3,3,$0 ,$0 ,$0 ,$0 ,"10,350"
2,FLR23,AA,15,18,4/23/2021 9:58,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0
2,FLR25,AA,57,57,4/23/2021 9:58,3,0,0,0,3,"$21,420 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,57,58,4/23/2021 9:58,10,0,0,0,10,"$72,204 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,57,60,4/23/2021 9:58,48,0,0,0,48,"$139,686 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,58,58,4/23/2021 9:58,1,0,0,0,1,"$4,099 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,58,60,4/23/2021 9:58,6,0,0,0,6,"$51,962 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,59,60,4/23/2021 9:58,12,0,0,0,12,"$80,403 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,65,66,4/23/2021 9:58,20,0,0,0,20,"$99,753 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,65,68,4/23/2021 9:58,40,0,0,0,40,"$170,269 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,67,67,4/23/2021 9:58,1,0,0,0,1,"$3,316 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,67,68,4/23/2021 9:58,18,0,0,0,18,"$93,120 ",$0 ,$0 ,$0 ,0
2,FLR25,AA,68,68,4/23/2021 9:58,1,0,0,0,1,"$3,316 ",$0 ,$0 ,$0 ,0
3,FLR23,AA,1,2,4/23/2021 9:58,40,0,0,0,40,"$130,329 ",$0 ,$0 ,$0 ,0
3,FLR25,AA,73,73,4/23/2021 9:58,1,0,0,0,1,"$2,622 ",$0 ,$0 ,$0 ,0
3,FLR25,AA,73,74,4/23/2021 9:58,38,0,0,0,38,"$125,086 ",$0 ,$0 ,$0 ,0
3,FLR25,AA,74,74,4/23/2021 9:58,1,0,0,0,1,"$2,622 ",$0 ,$0 ,$0 ,0
4,FLR17,AA,4,4,4/23/2021 9:58,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0
4,FLR17,AA,5,5,4/23/2021 9:58,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0
4,FLR17,AA,5,6,4/23/2021 9:58,0,0,0,4,4,$0 ,$0 ,$0 ,$0 ,"7,720"
4,FLR17,AA,5,8,4/23/2021 9:58,0,0,0,8,8,$0 ,$0 ,$0 ,$0 ,"33,680"
